date,Dogecoin,sentiment_score
2025-02-09 13:00:00,61,-0.5294117647058824
2025-02-09 14:00:00,62,-0.4901960784313726
2025-02-09 15:00:00,63,-0.4509803921568627
2025-02-09 16:00:00,61,-0.5294117647058824
2025-02-09 17:00:00,63,-0.4509803921568627
2025-02-09 18:00:00,64,-0.4117647058823529
2025-02-09 19:00:00,65,-0.37254901960784315
2025-02-09 20:00:00,68,-0.2549019607843137
2025-02-09 21:00:00,70,-0.17647058823529416
2025-02-09 22:00:00,73,-0.05882352941176472
2025-02-09 23:00:00,64,-0.4117647058823529
2025-02-10 00:00:00,57,-0.6862745098039216
2025-02-10 01:00:00,53,-0.8431372549019608
2025-02-10 02:00:00,55,-0.7647058823529411
2025-02-10 03:00:00,57,-0.6862745098039216
2025-02-10 04:00:00,64,-0.4117647058823529
2025-02-10 05:00:00,59,-0.607843137254902
2025-02-10 06:00:00,56,-0.7254901960784313
2025-02-10 07:00:00,54,-0.803921568627451
2025-02-10 08:00:00,51,-0.9215686274509804
2025-02-10 09:00:00,49,-1.0
2025-02-10 10:00:00,52,-0.8823529411764706
2025-02-10 11:00:00,54,-0.803921568627451
2025-02-10 12:00:00,52,-0.8823529411764706
2025-02-10 13:00:00,56,-0.7254901960784313
2025-02-10 14:00:00,60,-0.5686274509803921
2025-02-10 15:00:00,56,-0.7254901960784313
2025-02-10 16:00:00,64,-0.4117647058823529
2025-02-10 17:00:00,63,-0.4509803921568627
2025-02-10 18:00:00,66,-0.33333333333333337
2025-02-10 19:00:00,61,-0.5294117647058824
2025-02-10 20:00:00,66,-0.33333333333333337
2025-02-10 21:00:00,66,-0.33333333333333337
2025-02-10 22:00:00,66,-0.33333333333333337
2025-02-10 23:00:00,65,-0.37254901960784315
2025-02-11 00:00:00,61,-0.5294117647058824
2025-02-11 01:00:00,55,-0.7647058823529411
2025-02-11 02:00:00,53,-0.8431372549019608
2025-02-11 03:00:00,59,-0.607843137254902
2025-02-11 04:00:00,64,-0.4117647058823529
2025-02-11 05:00:00,66,-0.33333333333333337
2025-02-11 06:00:00,70,-0.17647058823529416
2025-02-11 07:00:00,63,-0.4509803921568627
2025-02-11 08:00:00,58,-0.6470588235294117
2025-02-11 09:00:00,54,-0.803921568627451
2025-02-11 10:00:00,50,-0.9607843137254902
2025-02-11 11:00:00,52,-0.8823529411764706
2025-02-11 12:00:00,53,-0.8431372549019608
2025-02-11 13:00:00,55,-0.7647058823529411
2025-02-11 14:00:00,56,-0.7254901960784313
2025-02-11 15:00:00,61,-0.5294117647058824
2025-02-11 16:00:00,59,-0.607843137254902
2025-02-11 17:00:00,60,-0.5686274509803921
2025-02-11 18:00:00,64,-0.4117647058823529
2025-02-11 19:00:00,65,-0.37254901960784315
2025-02-11 20:00:00,64,-0.4117647058823529
